E1	E2	E3	max_state
0.016200000420212746	0.14256000518798828	0.035280000418424606	E2
0.06480000168085098	0.33264002203941345	0.05291999876499176	E2
0.001980000175535679	0.01656000129878521	0.0028000001329928637	E2
0.001980000175535679	0.03726000338792801	0.01080000028014183	E2
0.007199999876320362	0.03696000203490257	0.005880000069737434	E2
0.00037999998312443495	0.0012600000482052565	0.006000000052154064	E3
0.007199999876320362	0.08316000550985336	0.022680001333355904	E2
0.0020000000949949026	0.00672000041231513	0.003060000017285347	E2
0.017820000648498535	0.14904001355171204	0.025200001895427704	E2
0.04212000221014023	0.09072000533342361	0.05544000118970871	E2
0.03078000247478485	0.04536000266671181	0.12600000202655792	E3
0.02916000224649906	0.03888000175356865	0.13607999682426453	E3
0.02916000224649906	0.03888000175356865	0.13607999682426453	E3
0.02916000224649906	0.03888000175356865	0.13607999682426453	E3
0.04212000221014023	0.09072000533342361	0.05544000118970871	E2
0.017820000648498535	0.14904001355171204	0.025200001895427704	E2
0.03078000247478485	0.04536000266671181	0.12600000202655792	E3
0.04212000221014023	0.09072000533342361	0.05544000118970871	E2
0.027540002018213272	0.051840003579854965	0.12347999960184097	E3
0.016200000420212746	0.14256000518798828	0.035280000418424606	E2
0.04374000057578087	0.09720000624656677	0.04536000266671181	E2
0.04374000057578087	0.09720000624656677	0.04536000266671181	E2
0.04212000221014023	0.09072000533342361	0.05544000118970871	E2
0.04212000221014023	0.09072000533342361	0.05544000118970871	E2
0.03078000247478485	0.04536000266671181	0.12600000202655792	E3
0.017820000648498535	0.14904001355171204	0.025200001895427704	E2
0.017820000648498535	0.14904001355171204	0.025200001895427704	E2
0.01458000112324953	0.1555200070142746	0.022680001333355904	E2
0.01458000112324953	0.1555200070142746	0.022680001333355904	E2
0.03078000247478485	0.04536000266671181	0.12600000202655792	E3
